now_time,trils,duration,left_shoulder,right_shoulder,left_knee,right_neck,0_Nose,,,1_Neck,,,2_RShoulder,,,3_RElbow,,,4_RWrist,,,5_LShoulder,,,6_LElbow,,,7_LWrist,,,8_MidHip,9_RHip,,,10_RKnee,,,11_RAnkle,,,12_LHip,,,13_LKnee,,,14_LAnkle,,,15_REye,,,16_LEye,,,17_REar,18_LEar,,,19_LBigToe,,,20_LSmallToe,,,21_LHeel,,,22_RBigToe,,,23_RSmallToe,,,24_RHeel,,,25_Background,,,26_A_Lneck,27_A_Lshoulder,28_A_Lelbow,29_A_Lhip,30_A_Lknee,31_A_Rneck,32_A_Rshoulder,33_A_Relbow,34_A_Rhip,35_A_Rknee,36_A_middle_left_neck
2023:03:02:10:48:30,up_120_2t_,0.574137926,5.97,1.04,176.29,97.93,0.5501923,0.39387718,0.9852289,0.55040365,0.43017292,0.907778,0.5150861,0.43530473,0.9645619,0.5147058,0.49849874,0.86683977,0.5189998,0.5194717,0.7466968,0.58942115,0.41992322,0.86980575,0.6052276,0.48276362,0.90999585,0.5818428,0.5195258,0.7164462,0.5542668,0.5666947,0.8900836,0.5384991,0.56676584,0.87718153,0.5383674,0.69238293,0.86653304,0.54242516,0.8073853,0.90046,0.5815704,0.5665954,0.93515146,0.58947474,0.6871388,0.91227853,0.6052108,0.8073462,0.9057735,0.5462035,0.3884714,0.9403606,0.5541731,0.38837075,0.8936196,0.53062886,0.38311988,0.63425785,0.5737731,0.37272376,0.8007837,0.6128911,0.8284051,0.9059519,0.6209283,0.81802267,0.8660237,0.59733444,0.81763244,0.8672549,0.5267448,0.83358973,0.8007233,0.51874095,0.82311743,0.88026255,0.54642296,0.8126851,0.9095249,,,,,,,,,,
2023:03:02:10:48:30,up_120_2t_,0.66190815,3.86,1.07,176.25,97.99,0.5502168,0.39389127,0.9868163,0.55039835,0.43018332,0.9074874,0.5150817,0.43532008,0.9654459,0.5147015,0.49847078,0.8689635,0.51903415,0.5195569,0.75795716,0.5894214,0.41992006,0.8705582,0.60522896,0.48275867,0.91093695,0.58551955,0.5195216,0.73356736,0.55424184,0.56665117,0.899618,0.5384753,0.5667132,0.88372576,0.534584,0.6923035,0.8722345,0.5424347,0.80732006,0.8999876,0.5815468,0.56656015,0.9418574,0.58942795,0.68710726,0.9135252,0.60523003,0.80730367,0.90468735,0.54622465,0.38848984,0.9443682,0.55419904,0.3883915,0.8946567,0.53062004,0.38315526,0.66146517,0.5737766,0.37275046,0.791137,0.6092799,0.82833374,0.90466136,0.6208848,0.81799495,0.86797345,0.59738404,0.81757903,0.86691093,0.5267542,0.8335498,0.80810964,0.5187461,0.8230804,0.8918174,0.546442,0.81263113,0.9188371,,,,,,,,,,
2023:03:02:10:48:30,up_120_2t_,0.72535491,10.1,3.1,178.61,90.59,0.56199425,0.38834777,0.8772379,0.56589615,0.42518517,0.85199684,0.5228736,0.43018866,0.8730353,0.5188141,0.48808753,0.87606674,0.5306044,0.5246641,0.6635061,0.60507303,0.41990462,0.86067235,0.613005,0.48796964,0.92205995,0.58941275,0.5244124,0.6468983,0.5698,0.5666483,0.8715705,0.5461905,0.5666837,0.9157408,0.5461098,0.692197,0.9172277,0.5424597,0.80742,0.91456425,0.58558357,0.5666107,0.8929793,0.597268,0.6919828,0.9014462,0.6052103,0.80733365,0.8982403,0.55038375,0.367606,0.90496755,0.5737979,0.3675408,0.8859298,0.5462431,0.362375,0.8348318,0.5815979,0.36235666,0.8496444,0.61300665,0.83340275,0.90453756,0.62478036,0.81805104,0.866395,0.59729135,0.81761646,0.8537004,0.534547,0.83355314,0.8067879,0.5188357,0.8231319,0.8987349,0.54634386,0.81269497,0.9149873,,,,,,,,,,
2023:03:02:10:48:30,up_120_2t_,0.783200264,6.48,2.39,178.63,87.33,0.5620065,0.3780604,0.8538267,0.5698041,0.4250545,0.8527402,0.5266523,0.43016487,0.8603607,0.5188607,0.49315694,0.8571044,0.5306402,0.5245113,0.63073504,0.60520506,0.4146837,0.87280303,0.6130751,0.48292026,0.93184245,0.5933445,0.51956105,0.7190393,0.5698714,0.5666239,0.87757117,0.54623127,0.5666495,0.9188285,0.5461082,0.6921345,0.9209085,0.54605997,0.8073801,0.9111923,0.58564174,0.56659865,0.88816667,0.5972595,0.69196117,0.90262485,0.60517424,0.80732036,0.89526236,0.55041474,0.36233342,0.92056406,0.5737928,0.36226448,0.91063094,0.54627866,0.3622148,0.8503291,0.58161515,0.35737905,0.89687115,0.6129682,0.82840186,0.911761,0.620985,0.8180216,0.8711811,0.5934792,0.8175964,0.85340387,0.5345794,0.8335294,0.8078989,0.51886404,0.82312965,0.89534783,0.5463611,0.81266755,0.91508937,,,,,,,,,,
2023:03:02:10:48:30,up_120_2t_,0.841045618,10.02,7.16,177.76,87.31,0.5620272,0.3779535,0.8516133,0.56986016,0.425025,0.853468,0.52664495,0.43014315,0.8570546,0.51888734,0.49328408,0.85457313,0.53852206,0.5244766,0.6069088,0.6088773,0.414656,0.88215065,0.61308235,0.48301122,0.9183528,0.58951086,0.52444565,0.6838781,0.5699113,0.56667036,0.8818881,0.54626167,0.56669194,0.9227266,0.54610795,0.69219697,0.9282841,0.54608214,0.8074323,0.91942453,0.58567685,0.5666463,0.8823262,0.5934677,0.6919954,0.9075932,0.6051723,0.80732,0.8952737,0.55044,0.36224568,0.92073476,0.5738041,0.35735846,0.91612476,0.54632866,0.35721233,0.8288936,0.581649,0.35722485,0.9364468,0.6129412,0.828382,0.91532904,0.62096393,0.8180114,0.8731704,0.59725034,0.81759286,0.8485551,0.5345415,0.8335615,0.80605555,0.518867,0.8231505,0.8951314,0.546398,0.8127028,0.922122,,,,,,,,,,
2023:03:02:10:48:31,up_120_2t_,0.898890972,10.02,6.71,179.71,83.85,0.5620159,0.36768207,0.85290533,0.5736205,0.41999066,0.85492873,0.52675635,0.42521346,0.8488304,0.5188524,0.49326953,0.86130905,0.53845835,0.5245175,0.5945107,0.60891014,0.41463488,0.88670874,0.6130594,0.48790714,0.9116579,0.5895099,0.5245843,0.67756754,0.5736439,0.56669647,0.88678324,0.54629743,0.56671274,0.92601,0.5461072,0.6921739,0.92751133,0.5460846,0.8122733,0.91889596,0.58942306,0.5666659,0.87157995,0.59733593,0.6919784,0.9034302,0.60520643,0.80732554,0.8959597,0.55044323,0.35723594,0.93861437,0.5738024,0.357197,0.9321212,0.54636323,0.35718292,0.7871995,0.58166635,0.35720557,0.95503145,0.6129504,0.82839805,0.90736634,0.62097406,0.8180283,0.8651647,0.59727347,0.8176109,0.8491264,0.5345533,0.83357465,0.793547,0.51887846,0.8231817,0.87768173,0.54640067,0.81273556,0.91292846,,,,,,,,,,
2023:03:02:10:48:31,up_120_2t_,0.958259344,9.99,4.53,179.66,78.8,0.56201494,0.36744326,0.86635953,0.5736693,0.4249838,0.860288,0.53058845,0.42517412,0.845688,0.51886916,0.49323556,0.86480176,0.5384631,0.52445334,0.6221967,0.6089222,0.4146404,0.8866174,0.6130951,0.48793146,0.9064737,0.58957595,0.52455866,0.6657338,0.5736912,0.566668,0.8949003,0.54633564,0.5666748,0.9302962,0.54611534,0.6922506,0.9297607,0.54605365,0.8123376,0.92042404,0.58947974,0.5666478,0.866635,0.59731144,0.6920325,0.9031956,0.60520643,0.8073406,0.89867574,0.55044556,0.35706455,0.9545918,0.57380456,0.35703418,0.9434712,0.5463743,0.35706866,0.7865061,0.5816638,0.35712543,0.96869403,0.61293674,0.8283935,0.9072491,0.6209612,0.8180307,0.86369956,0.597287,0.8176134,0.8475554,0.53448254,0.83360684,0.7870024,0.5188533,0.823205,0.8697941,0.546375,0.8127988,0.9095024,,,,,,,,,,
2023:03:02:10:48:31,up_120_2t_,1.018103361,10.02,4.52,179.68,85.52,0.56204796,0.3622999,0.88748074,0.5736811,0.41999242,0.85746175,0.5306311,0.42521623,0.84430677,0.51889503,0.49330813,0.85850644,0.5384888,0.5244737,0.6291209,0.60891443,0.41462088,0.8870655,0.61310166,0.4879472,0.90733224,0.58951294,0.5245682,0.6613946,0.5737032,0.5666502,0.896551,0.5463452,0.5666562,0.93074304,0.54610735,0.6922663,0.9288239,0.54605436,0.8123186,0.91762924,0.5894978,0.566632,0.8643869,0.59734946,0.69204986,0.90164477,0.6052164,0.80733305,0.89653075,0.55044615,0.3569144,0.96797144,0.5738185,0.35686234,0.95623857,0.5463935,0.3570562,0.811877,0.58166516,0.35703725,0.9729577,0.6129341,0.8284081,0.9050577,0.62096596,0.81804234,0.86039835,0.5972974,0.8175949,0.84643656,0.53067374,0.83360004,0.78442633,0.51883894,0.82317483,0.8708087,0.5463834,0.8127801,0.91010463,,,,,,,,,,
2023:03:02:10:48:31,up_120_2t_,1.079934835,10.01,2.4,176.71,86.99,0.5620171,0.35727158,0.90797204,0.5736886,0.41997135,0.85946244,0.5344612,0.42516226,0.8407322,0.5188832,0.48818117,0.869264,0.5384116,0.51953334,0.6672698,0.60888934,0.41459775,0.8850885,0.6131146,0.48792735,0.90779287,0.58949184,0.524505,0.64900756,0.57368773,0.5664803,0.90387034,0.54634446,0.5664863,0.94040513,0.5461138,0.69204223,0.93351334,0.54245406,0.8073642,0.9046549,0.5894557,0.5664641,0.87683403,0.6011452,0.69190603,0.9031863,0.60523415,0.80728936,0.89310724,0.5504262,0.35200113,0.9763295,0.573812,0.35196486,0.9672483,0.5463755,0.35700932,0.85067934,0.58165467,0.35699254,0.98535526,0.61293894,0.8283813,0.898984,0.6209562,0.8180195,0.857245,0.5973159,0.8175686,0.8479673,0.53445613,0.83346295,0.77991134,0.51883566,0.8230617,0.86944515,0.54636717,0.81267756,0.9095949,,,,,,,,,,
2023:03:02:10:48:31,up_120_2t_,1.137779474,9.6,4.73,176.67,86.45,0.562019,0.35719073,0.9134242,0.57365435,0.41994616,0.8560849,0.53064364,0.42518878,0.8448197,0.5188662,0.49312043,0.8735512,0.53844553,0.5195203,0.6739559,0.60888106,0.40954304,0.88947207,0.6131453,0.4878595,0.90954137,0.58945155,0.5244151,0.6595055,0.5736608,0.56642705,0.9001744,0.5463243,0.5664243,0.9426887,0.546103,0.69202024,0.9308039,0.54244345,0.8073247,0.898533,0.5894235,0.56642365,0.8775306,0.601177,0.69193214,0.9020688,0.60525495,0.8073032,0.89297235,0.5504295,0.3519262,0.97337264,0.5738089,0.35190794,0.96462226,0.54637873,0.35699594,0.87061626,0.58163714,0.3569705,0.97344416,0.6129613,0.8284064,0.89408517,0.6247397,0.81804657,0.8527717,0.5973326,0.8175868,0.84910476,0.5306722,0.83348066,0.780595,0.5188235,0.8230592,0.86880416,0.5463659,0.8126581,0.90053785,,,,,,,,,,
2023:03:02:10:48:31,up_120_2t_,1.197147369,10.04,4.71,178.14,86.54,0.5620726,0.35711235,0.91446733,0.57362413,0.41996524,0.8517788,0.5305667,0.42521834,0.8493079,0.51889294,0.49320778,0.86156166,0.5383722,0.5195428,0.65396994,0.6088753,0.40951046,0.8908711,0.61317295,0.48794913,0.900687,0.5894482,0.5193862,0.6089939,0.5736669,0.5664865,0.8969022,0.5463037,0.56649673,0.9365647,0.542352,0.69195896,0.89442366,0.5460549,0.80728054,0.9016462,0.5894637,0.56648254,0.8752808,0.60114986,0.6871431,0.8944769,0.6088644,0.8073444,0.8957351,0.5504525,0.35183156,0.9671003,0.5738398,0.35183227,0.96552575,0.54635704,0.3569062,0.90194595,0.58163464,0.3569264,0.95271105,0.61299866,0.8334668,0.8959913,0.62479454,0.8180789,0.85957956,0.5973546,0.81763816,0.8519264,0.5306259,0.8335121,0.7927321,0.51881003,0.82304597,0.885881,0.5464187,0.8126398,0.915956,,,,,,,,,,
2023:03:02:10:48:31,up_120_2t_,1.258983374,9.57,2.52,179.76,89.52,0.5581889,0.3570024,0.9243032,0.5736203,0.41996807,0.8512362,0.5305531,0.43014202,0.84966445,0.5188976,0.49332297,0.8568802,0.5345081,0.5195042,0.6680576,0.6088752,0.40951473,0.8908729,0.6132399,0.4879357,0.90009767,0.58953303,0.52440083,0.6607045,0.57365376,0.56650007,0.8967474,0.5462802,0.56652683,0.931188,0.5461262,0.6921386,0.92404735,0.5460774,0.80742383,0.91335785,0.5894438,0.5664855,0.8801983,0.59740585,0.69198287,0.8962964,0.6052092,0.80735344,0.89677095,0.55037403,0.35178286,0.97975135,0.573737,0.35173962,0.94990706,0.5463546,0.3569442,0.84429294,0.5815923,0.35688898,0.9791021,0.6130105,0.83346355,0.9060669,0.6247688,0.81806886,0.8710689,0.59726095,0.81765664,0.84686375,0.53459555,0.8334652,0.7839366,0.5189265,0.82310444,0.86385405,0.5463872,0.81272054,0.90513885,,,,,,,,,,
2023:03:02:10:48:31,up_120_2t_,1.325803041,11,1.02,176.63,96.08,0.56194,0.35691696,0.92357475,0.56991875,0.41998565,0.8499001,0.52679574,0.430175,0.8540422,0.5189274,0.49331385,0.8529263,0.5306785,0.5193389,0.68080664,0.6088612,0.40953067,0.88725287,0.6132448,0.48794627,0.8992352,0.5895757,0.52447575,0.66372067,0.573696,0.56651247,0.9015568,0.54630417,0.5665419,0.9319724,0.54614943,0.69210595,0.9310358,0.54606676,0.8122724,0.9125348,0.5895188,0.56648266,0.87507945,0.6012435,0.69196403,0.90325695,0.6052107,0.8073587,0.8976846,0.5503749,0.3516965,0.97112906,0.5737324,0.35164052,0.939516,0.54634565,0.3568997,0.86886424,0.5815831,0.35682395,0.96984756,0.61303526,0.8334965,0.906062,0.62478644,0.81808597,0.86830485,0.59347403,0.81764686,0.8481121,0.5346051,0.8335104,0.7796651,0.51891357,0.8231451,0.85502857,0.5463688,0.8127437,0.8987795,,,,,,,,,,
2023:03:02:10:48:31,up_120_2t_,1.383205414,7.67,2.32,178.41,83.1,0.55812305,0.3569554,0.92895967,0.573644,0.41997656,0.85605365,0.53058976,0.42521554,0.8500696,0.5189318,0.49317515,0.8647761,0.5344674,0.5195364,0.6942465,0.6088864,0.40957898,0.8879295,0.6132492,0.48799923,0.8943509,0.5934352,0.5247118,0.69075173,0.5737224,0.56649494,0.9109922,0.5463252,0.56652045,0.93827045,0.5461542,0.69212925,0.93212295,0.546068,0.812279,0.9130038,0.58956534,0.56646234,0.87567574,0.60129,0.69192535,0.9074309,0.60885406,0.8073273,0.89775896,0.55034,0.35172218,0.9723178,0.5736955,0.35167354,0.9375576,0.54634315,0.35684782,0.78163934,0.58159983,0.3520628,0.98819727,0.6130825,0.833423,0.90173346,0.6248647,0.8180361,0.85928243,0.5972762,0.81763035,0.85346866,0.5345097,0.83346295,0.7744859,0.5188654,0.8230754,0.85594445,0.54638,0.8127547,0.89944834,,,,,,,,,,
2023:03:02:10:48:31,up_120_2t_,1.441053867,7.65,0.08,178.06,82.97,0.558035,0.35693797,0.93619055,0.5736879,0.4198996,0.86234635,0.5306686,0.42512935,0.84375703,0.518979,0.48818186,0.8550839,0.53053945,0.51932305,0.72312546,0.60890484,0.40956694,0.89194596,0.61323845,0.4879898,0.89562374,0.59341747,0.5248618,0.6964233,0.57368934,0.5664688,0.9089035,0.5463263,0.56648284,0.9409837,0.5461275,0.6920116,0.9245826,0.5460691,0.8073953,0.9061013,0.5894926,0.5664412,0.88255376,0.6012506,0.687078,0.9066799,0.6088623,0.807325,0.8985736,0.5502964,0.35171252,0.97373426,0.57362825,0.35165638,0.92505145,0.54638106,0.35685617,0.63295496,0.58159536,0.35202175,0.99566776,0.6130583,0.8283933,0.89871967,0.62486184,0.8180096,0.8560507,0.597292,0.81764716,0.85217154,0.5345382,0.828415,0.7757921,0.5188788,0.82302743,0.8588251,0.54638594,0.8127171,0.89760774,,,,,,,,,,
2023:03:02:10:48:31,up_120_2t_,1.502890348,9.53,2.36,178,84.61,0.5581268,0.3519973,0.923568,0.57373303,0.41985056,0.8705865,0.53450125,0.4250594,0.84564006,0.5189945,0.49317768,0.8583486,0.5383663,0.51948285,0.7052058,0.60892004,0.40957442,0.8923205,0.61325157,0.488053,0.8940095,0.5895394,0.5248716,0.73003536,0.57370096,0.56648195,0.91063905,0.5463498,0.56647694,0.9438086,0.5461207,0.6920153,0.9262747,0.54246825,0.81227165,0.908684,0.5894938,0.5664624,0.88082093,0.60131896,0.6870952,0.9090909,0.6088624,0.80719864,0.8905254,0.5503589,0.34669256,0.9425134,0.5736769,0.346638,0.9146342,0.5463683,0.35680705,0.7789143,0.58158565,0.35197946,0.98600864,0.6130431,0.8334156,0.9166421,0.6248261,0.8180392,0.8708969,0.59730023,0.8127399,0.84608877,0.5345079,0.8335522,0.7902857,0.5188546,0.82315683,0.8730302,0.54636943,0.8127583,0.8946707,,,,,,,,,,
2023:03:02:10:48:31,up_120_2t_,1.564725161,9.95,2.35,178.36,87.61,0.56195223,0.35202718,0.913229,0.57375,0.4198424,0.8710297,0.53451306,0.42499644,0.8405165,0.51897675,0.48818538,0.855493,0.53835773,0.5193245,0.70603025,0.60893834,0.4146027,0.8902516,0.616868,0.48807123,0.8879337,0.5895608,0.5248714,0.7432433,0.57370394,0.5664831,0.90920514,0.54636216,0.56646025,0.94264525,0.54611576,0.69204044,0.933193,0.5460719,0.8123071,0.9182043,0.58949214,0.5664778,0.8774527,0.6013279,0.69190794,0.9159662,0.608884,0.80722755,0.89413,0.55041885,0.34668472,0.92736423,0.57376444,0.3466719,0.9218046,0.54640365,0.35203832,0.78135216,0.58163667,0.3520158,0.9716304,0.6130203,0.8334116,0.9172041,0.6248059,0.8180436,0.8716162,0.5973476,0.8127622,0.844663,0.53447354,0.83356893,0.7885936,0.5188518,0.82315975,0.8728883,0.546404,0.8175769,0.9005297,,,,,,,,,,
2023:03:02:10:48:31,up_120_2t_,1.622570038,9.95,0.02,176.54,77.24,0.55815244,0.3519659,0.9186131,0.57376134,0.41981593,0.8732702,0.53457016,0.4199505,0.8398559,0.5189967,0.48811823,0.85460895,0.534551,0.51923215,0.6939618,0.60893047,0.414591,0.8913755,0.6132752,0.48804948,0.8898669,0.58954453,0.5248164,0.7431542,0.57369053,0.5665026,0.9044664,0.546357,0.56646967,0.9427772,0.5461065,0.6920874,0.93060607,0.54606324,0.81234294,0.9214527,0.58946615,0.56651235,0.87526965,0.6013244,0.6919011,0.9179853,0.60523957,0.8071335,0.8799521,0.5504096,0.3466164,0.92882407,0.5737351,0.34663004,0.91682523,0.546431,0.352032,0.7260525,0.58163893,0.35200176,0.9909047,0.6130714,0.83340263,0.9196464,0.62487495,0.81799835,0.87678266,0.5972649,0.8126723,0.8414911,0.53065526,0.83356714,0.78998303,0.51884913,0.8231518,0.8738755,0.5463986,0.81760705,0.90559983,,,,,,,,,,
