now_time,trils,duration,left_shoulder,right_shoulder,left_knee,right_neck,0_Nose,,,1_Neck,,,2_RShoulder,,,3_RElbow,,,4_RWrist,,,5_LShoulder,,,6_LElbow,,,7_LWrist,,,8_MidHip,9_RHip,,,10_RKnee,,,11_RAnkle,,,12_LHip,,,13_LKnee,,,14_LAnkle,,,15_REye,,,16_LEye,,,17_REar,18_LEar,,,19_LBigToe,,,20_LSmallToe,,,21_LHeel,,,22_RBigToe,,,23_RSmallToe,,,24_RHeel,,,25_Background,,,26_A_Lneck,27_A_Lshoulder,28_A_Lelbow,29_A_Lhip,30_A_Lknee,31_A_Rneck,32_A_Rshoulder,33_A_Relbow,34_A_Rhip,35_A_Rknee,36_A_middle_left_neck
2023:03:04:15:20:01,up_120_2t_,1.17029953,124.21,119.9,176.21,85.3,0.54230946,0.39894378,0.9401717,0.5461358,0.44628337,0.9078682,0.49926442,0.44622052,0.85389614,0.45210707,0.42504644,0.8887535,0.4089713,0.38849795,0.84257346,0.5814866,0.44614384,0.93400365,0.6326024,0.42498878,0.8019685,0.67566335,0.3883967,0.8678239,0.5385246,0.6082702,0.9016689,0.5148345,0.6082355,0.9352663,0.5147974,0.72364086,0.91361755,0.51487935,0.8178784,0.94648594,0.5580318,0.60830563,0.88743895,0.56599474,0.72868097,0.8915256,0.5659931,0.8180638,0.8699945,0.5267856,0.39378512,0.9163084,0.54637116,0.3937233,0.9725095,0.5187862,0.3990089,0.7938223,0.55431235,0.39893198,0.8734685,0.577629,0.85463434,0.8582486,0.58547634,0.8542541,0.86858356,0.5542911,0.8283344,0.8035911,0.5147391,0.85425615,0.87001765,0.4915152,0.8490051,0.8100804,0.51876473,0.8231161,0.8391489,,,,,,,,,,
2023:03:04:15:20:01,up_120_2t_,1.232134104,124.28,117.54,176.28,79.85,0.5423968,0.39898458,0.9483865,0.5461156,0.4512405,0.90021884,0.49926966,0.4462538,0.85036623,0.45216027,0.42520028,0.8987225,0.40898994,0.39348304,0.859959,0.5778929,0.4461764,0.92918164,0.6286889,0.42517635,0.81201565,0.67198735,0.38849103,0.87494844,0.53852034,0.60831255,0.9037653,0.51482975,0.60827166,0.93762255,0.5147998,0.7285023,0.9155204,0.5148922,0.8178405,0.9474753,0.5580228,0.60835624,0.89108914,0.5659375,0.7287336,0.8954934,0.56600636,0.82294375,0.86731744,0.53062695,0.39383465,0.9207176,0.5464161,0.3937807,0.9819051,0.51879776,0.39902604,0.8691027,0.55428636,0.39899507,0.86689574,0.57762986,0.85463244,0.8523309,0.5854788,0.8542633,0.8699227,0.55803484,0.8334604,0.7971388,0.5147989,0.85423005,0.8788064,0.4952769,0.8440497,0.8098745,0.51877105,0.8230716,0.8330964,,,,,,,,,,
2023:03:04:15:20:01,up_120_2t_,1.295964241,124.26,117.49,174.5,79.81,0.54234713,0.39896232,0.9427021,0.5461185,0.4512376,0.90122324,0.49928385,0.4462604,0.84789777,0.4521623,0.43017608,0.89873177,0.4089493,0.39354837,0.86030275,0.5778941,0.4461587,0.9310283,0.6287535,0.42516342,0.8127667,0.67203575,0.3884929,0.874024,0.5385092,0.6082972,0.902196,0.51482373,0.6082598,0.936454,0.5147968,0.72364837,0.9134227,0.51488954,0.8178232,0.94873387,0.55432767,0.6083418,0.8910285,0.56595236,0.7287028,0.8925301,0.56598127,0.8180763,0.868741,0.53057885,0.39380378,0.917867,0.54639167,0.39375845,0.9788364,0.518779,0.398997,0.8455645,0.55428356,0.39899033,0.8785619,0.57761514,0.8546143,0.85770404,0.58184695,0.8542256,0.8714267,0.5542992,0.8283785,0.7966185,0.5148196,0.8542155,0.8790057,0.49530292,0.84404206,0.8065767,0.5187629,0.823046,0.8358301,,,,,,,,,,
2023:03:04:15:20:01,up_120_2t_,1.353808641,124.24,117.49,174.49,79.76,0.5422936,0.39893943,0.9381959,0.5461113,0.45124355,0.9008867,0.49927732,0.4462635,0.8482628,0.45212656,0.43017554,0.8976196,0.4088646,0.3935105,0.84803236,0.5778864,0.44615382,0.93204844,0.62873954,0.4251907,0.81583273,0.67202616,0.3885512,0.88192236,0.5384989,0.60832906,0.9000429,0.5148087,0.6082961,0.93473214,0.51480067,0.7285102,0.9162586,0.51488984,0.8178281,0.9484607,0.55432135,0.6083676,0.89148647,0.56596625,0.7287327,0.8954346,0.5659848,0.8180576,0.8692419,0.52679217,0.39376894,0.9154557,0.54636747,0.39373994,0.9758474,0.5187774,0.3989628,0.79485375,0.5542786,0.3989981,0.887615,0.57761484,0.8545736,0.853969,0.5818359,0.8541985,0.8671579,0.55430067,0.828347,0.7959715,0.5148298,0.85418963,0.87526274,0.4953205,0.8440254,0.80362505,0.5187556,0.8230433,0.8350389,,,,,,,,,,
2023:03:04:15:20:01,up_120_2t_,1.411653996,122.03,117.49,174.49,79.71,0.54225576,0.39895517,0.9343817,0.54610795,0.45123178,0.90285254,0.49927193,0.44624844,0.8507378,0.4521353,0.43020082,0.89927727,0.4089588,0.39352927,0.8538651,0.57788604,0.4461521,0.93361443,0.6287042,0.43018407,0.8209679,0.6719499,0.39348903,0.88683796,0.53847057,0.6083108,0.89877194,0.5147838,0.60827225,0.93345785,0.51480836,0.728506,0.9185984,0.5148852,0.8178502,0.9446452,0.55429983,0.60835606,0.8941527,0.5659181,0.7287003,0.8932073,0.56592405,0.81804156,0.873028,0.5267473,0.39377677,0.91878754,0.5463447,0.39374456,0.9752518,0.51876944,0.39895388,0.76326054,0.554278,0.39898428,0.8917905,0.57758445,0.8545515,0.8575584,0.581797,0.8541887,0.87184405,0.5542534,0.8283326,0.80134225,0.51486546,0.8541819,0.8687525,0.49537125,0.8440328,0.79380274,0.5187336,0.8230801,0.83001965,,,,,,,,,,
2023:03:04:15:20:02,up_120_2t_,1.473521948,122.96,117.5,174.51,79.7,0.5422516,0.39896312,0.9340292,0.54610646,0.4512301,0.90399486,0.49925473,0.44623864,0.85155016,0.45213267,0.4301825,0.89551616,0.40896624,0.3935131,0.8530952,0.5814597,0.44617102,0.9322498,0.6287446,0.4301424,0.81622636,0.67202735,0.3935074,0.88951236,0.5384708,0.6083083,0.8998439,0.51477784,0.60827243,0.9335177,0.51481074,0.7285045,0.91802967,0.51489,0.8178382,0.9465587,0.5543056,0.6083546,0.8946995,0.5659023,0.72869843,0.89372706,0.565932,0.81803554,0.8744768,0.52675,0.39378223,0.919315,0.5463423,0.39375344,0.9764956,0.5187744,0.39895847,0.7614276,0.5542773,0.39899924,0.893499,0.577595,0.8545547,0.8594296,0.5818118,0.85418856,0.8710419,0.5542626,0.82832015,0.8034264,0.51487666,0.8493151,0.864079,0.4953878,0.8440125,0.79027945,0.5187366,0.82305956,0.829674,,,,,,,,,,
2023:03:04:15:20:02,up_120_2t_,1.53735137,122.94,116.5,174.53,79.68,0.54223347,0.39894888,0.9325117,0.5461042,0.45123038,0.9024766,0.49923658,0.44623294,0.8512183,0.45210317,0.42517823,0.89308214,0.405095,0.39345193,0.84858453,0.581468,0.4461776,0.93166655,0.63256675,0.42517143,0.8167362,0.6720581,0.3935357,0.8933003,0.5384722,0.60832244,0.89868575,0.51478124,0.6082877,0.93352693,0.51481146,0.7236499,0.91428185,0.5148873,0.8178168,0.9484918,0.55430466,0.6083641,0.8925447,0.56587565,0.72866815,0.8930149,0.565912,0.8180047,0.8794307,0.5267347,0.39376736,0.91978246,0.5463337,0.3937426,0.9755927,0.5187737,0.39895117,0.7361289,0.5542807,0.39900982,0.8967203,0.5775885,0.8545291,0.86348027,0.5818138,0.8541498,0.86750054,0.55423945,0.82827294,0.8106601,0.5148871,0.849299,0.8651012,0.49914852,0.84400034,0.789647,0.5187313,0.82303506,0.83386123,,,,,,,,,,
2023:03:04:15:20:02,up_120_2t_,1.597162485,122.92,118.69,174.49,75.64,0.538526,0.39894545,0.9306107,0.54611295,0.45124164,0.9042048,0.49925497,0.44622853,0.8517347,0.45211014,0.42516458,0.8938021,0.40505794,0.38858125,0.8478944,0.58147126,0.44618633,0.9291768,0.6287947,0.4301616,0.8183506,0.6720225,0.39360318,0.8979214,0.5384887,0.608343,0.89880687,0.5147925,0.60831994,0.9323297,0.51481044,0.7236406,0.9139015,0.5148864,0.8178009,0.9509749,0.5543209,0.60836995,0.89116263,0.56590694,0.72865015,0.8929664,0.56590015,0.81797415,0.88079983,0.5267254,0.39376608,0.9207001,0.54632324,0.39374512,0.9751415,0.51878476,0.39894778,0.6916782,0.5542852,0.3990222,0.89745444,0.5775671,0.85450876,0.86689687,0.58178574,0.84930634,0.8685237,0.55422086,0.8282185,0.81174564,0.51488024,0.84929895,0.86642534,0.49537832,0.8439933,0.7924994,0.5187345,0.82301486,0.83725184,,,,,,,,,,
2023:03:04:15:20:02,up_120_2t_,1.656576872,122.92,118.67,174.49,79.64,0.5422295,0.39894813,0.93272066,0.5461236,0.45122972,0.9056088,0.4992667,0.4462215,0.8521166,0.4520928,0.42513266,0.89056516,0.40505418,0.38857582,0.84531856,0.5814879,0.44616783,0.93158334,0.6287653,0.4302007,0.8226194,0.67195916,0.39364594,0.90278125,0.5384735,0.60834605,0.89737976,0.51477593,0.60831815,0.93046814,0.5148112,0.72364664,0.91181296,0.51489013,0.8177916,0.94896346,0.5543116,0.6083772,0.89243245,0.565916,0.72863615,0.89072466,0.56591815,0.8179826,0.8788142,0.5267356,0.3937723,0.92089283,0.5463311,0.39374343,0.9750154,0.51880544,0.39895716,0.6880909,0.55429167,0.39900455,0.8966985,0.57759917,0.8545471,0.8753164,0.5818355,0.8541469,0.8688745,0.55422854,0.82822245,0.8112017,0.5148921,0.8493004,0.8660885,0.49914473,0.84400034,0.78895307,0.5187341,0.82299536,0.8346193,,,,,,,,,,
2023:03:04:15:20:02,up_120_2t_,1.718411922,122.89,118.71,174.48,75.62,0.5385103,0.39899877,0.92695165,0.5461234,0.45123675,0.9052872,0.4992629,0.44624022,0.85164565,0.4520943,0.42515683,0.88893795,0.40503675,0.3885126,0.8436926,0.58147705,0.44615564,0.9318736,0.6287312,0.43024102,0.82677454,0.67198867,0.393674,0.90642786,0.5384847,0.6083281,0.8972712,0.5147851,0.6083024,0.93055594,0.5148102,0.7236325,0.91245896,0.5149025,0.8178118,0.94933206,0.5543233,0.60835296,0.88994056,0.56594753,0.7286168,0.88699734,0.56594396,0.8179922,0.8772704,0.5267139,0.393817,0.92244995,0.546303,0.39378995,0.9751345,0.5188161,0.39894316,0.6388624,0.5542725,0.39901298,0.8947547,0.5775936,0.8545702,0.8725282,0.5818364,0.8541705,0.8694984,0.5542454,0.8282261,0.8090986,0.51489913,0.8493111,0.86194414,0.49915385,0.84401155,0.78556025,0.51875246,0.82302064,0.8313188,,,,,,,,,,
