now_time,trils,duration,0_Nose,,,1_Neck,,,2_RShoulder,,,3_RElbow,,,4_RWrist,,,5_LShoulder,,,6_LElbow,,,7_LWrist,,,8_MidHip,9_RHip,,,10_RKnee,,,11_RAnkle,,,12_LHip,,,13_LKnee,,,14_LAnkle,,,15_REye,,,16_LEye,,,17_REar,18_LEar,,,19_LBigToe,,,20_LSmallToe,,,21_LHeel,,,22_RBigToe,,,23_RSmallToe,,,24_RHeel,,,25_Background,,,26_A_Lneck,27_A_Lshoulder,28_A_Lelbow,29_A_Lhip,30_A_Lknee,31_A_Rneck,32_A_Rshoulder,33_A_Relbow,34_A_Rhip,35_A_Rknee,36_A_middle_left_neck
2023:03:01:16:53:10,up_90_1t_,1.1692512035369873,0.5460898,0.3937789,0.9676933,0.54613936,0.44101796,0.94008756,0.49923915,0.44091016,0.89807487,0.4480712,0.44107887,0.8824939,0.39314836,0.44090247,0.9078723,0.5817163,0.44092458,0.9342614,0.640589,0.4408833,0.91541976,0.6953889,0.43045348,0.8509326,0.54234135,0.602985,0.8970305,0.5150036,0.60294527,0.9209832,0.5150402,0.7026806,0.8998713,0.5186806,0.8123213,0.95599836,0.55810297,0.6030147,0.85954565,0.56989855,0.70256233,0.87010264,0.5775952,0.80733335,0.9061855,0.53837323,0.3885004,0.89377856,0.54648656,0.3884977,0.9450783,0.52272266,0.39373627,0.7165116,0.5580592,0.3938694,0.9044329,0.58161515,0.83355767,0.87392414,0.59345216,0.8230027,0.84438735,0.5736289,0.81278044,0.8249629,0.5147777,0.8336205,0.88185453,0.49530768,0.8281715,0.8832712,0.522702,0.81268626,0.8876804,-1.00,174.88734589479233,-1,-1,-1,-1,179.87246470990428,-1,-1,-1,-1
2023:03:01:16:53:10,up_90_1t_,1.2306878566741943,0.54610294,0.39378473,0.96970475,0.5461282,0.44102293,0.93720424,0.49923357,0.4409082,0.8961101,0.44808254,0.44108954,0.8821186,0.3931362,0.44088396,0.91375965,0.5816939,0.44093263,0.9365636,0.64059913,0.44085374,0.9143864,0.6953659,0.43042713,0.8489202,0.5423344,0.60300344,0.8989717,0.51499915,0.6029694,0.9225099,0.5150506,0.70265055,0.90206337,0.5186853,0.8123002,0.95458215,0.5580885,0.60302615,0.86243254,0.569882,0.7025573,0.87057245,0.5775915,0.8073231,0.90595174,0.5383868,0.38850713,0.89543307,0.55006206,0.3885034,0.9443914,0.52272445,0.39374173,0.73290217,0.5580637,0.3938732,0.89987266,0.5816199,0.83355486,0.87822187,0.5934577,0.82299536,0.84730554,0.57362145,0.81277454,0.82519674,0.5147923,0.8335985,0.8821317,0.49533033,0.82325053,0.8824282,0.5227023,0.81266934,0.8888184,-1.00,174.8652322604229,-1,-1,-1,-1,179.87289701081946,-1,-1,-1,-1
2023:03:01:16:53:10,up_90_1t_,1.2965402603149414,0.5461002,0.39377418,0.968733,0.5461164,0.4410208,0.9353996,0.499219,0.4409103,0.896671,0.4480992,0.44108886,0.8904816,0.3931166,0.44088718,0.9144842,0.5816847,0.4409331,0.9368863,0.64061654,0.44084844,0.91284734,0.6954257,0.43045005,0.8517227,0.54234,0.6029948,0.9001322,0.5150045,0.60296106,0.9229039,0.5150641,0.7026281,0.90311515,0.5186904,0.8123003,0.95546585,0.5580908,0.60301524,0.86199063,0.5698854,0.7025533,0.8717701,0.5775911,0.80733466,0.90777445,0.5383869,0.38849473,0.89492786,0.5500585,0.38849893,0.9434983,0.5227239,0.39373302,0.7398217,0.5580453,0.39387792,0.8987713,0.58161616,0.8335392,0.88040185,0.59344584,0.82298666,0.8498601,0.5736228,0.81278265,0.8275269,0.51478535,0.83359677,0.8823085,0.49532664,0.8232496,0.88249564,0.52271,0.81267047,0.8899136,-1.00,174.875389355046,-1,-1,-1,-1,179.87751585756743,-1,-1,-1,-1
2023:03:01:16:53:10,up_90_1t_,1.3563804626464844,0.5424636,0.3937565,0.96452,0.5461099,0.44100657,0.9367735,0.49923256,0.44090316,0.8977259,0.44809642,0.44105828,0.8905097,0.3930973,0.4408915,0.91414094,0.58165383,0.44090658,0.9378586,0.64057934,0.44082922,0.9130801,0.69538516,0.4304331,0.84848857,0.54233724,0.6029826,0.9006927,0.5150132,0.60295606,0.92635566,0.5150685,0.70264393,0.9034077,0.51868904,0.8122939,0.9552461,0.558071,0.6029974,0.8642707,0.56988436,0.70256644,0.87156546,0.5775957,0.80732363,0.9072137,0.5383597,0.38848174,0.8917473,0.54647523,0.38849196,0.9454575,0.5227172,0.39372534,0.71250224,0.5580227,0.3938793,0.90389097,0.5816199,0.83353204,0.8783711,0.59344953,0.82298446,0.8488601,0.5736299,0.8127716,0.8275788,0.5147861,0.83358246,0.8816902,0.49532977,0.82323647,0.8843905,0.5227052,0.812662,0.89073324,-1.00,174.89966113215806,-1,-1,-1,-1,179.87989308724084,-1,-1,-1,-1
2023:03:01:16:53:10,up_90_1t_,1.4162204265594482,0.5424259,0.39373952,0.9595325,0.54610956,0.44101083,0.93723583,0.49923843,0.44090906,0.8988335,0.44812375,0.4410625,0.89653087,0.3931199,0.44088253,0.91891646,0.5816471,0.44091165,0.93906224,0.6405673,0.44083467,0.9115428,0.69540125,0.43044415,0.85198146,0.5423335,0.6029981,0.90144,0.51501226,0.6029732,0.9275942,0.515076,0.70264614,0.9043382,0.51869494,0.81230265,0.9555277,0.5580661,0.60300994,0.86521983,0.5699037,0.7025969,0.87181515,0.57760197,0.8073168,0.9066049,0.5345778,0.38846242,0.8890828,0.54645544,0.38847914,0.9456177,0.5227072,0.39372352,0.68644047,0.5543244,0.39387605,0.9108856,0.5816218,0.8335377,0.87935716,0.5934596,0.82298845,0.84860545,0.5736342,0.8127644,0.82473314,0.51479065,0.8335934,0.88271916,0.49533626,0.82323986,0.88379425,0.5227114,0.81266975,0.8893831,-1.00,174.90243455042238,-1,-1,-1,-1,179.88991034026327,-1,-1,-1,-1
2023:03:01:16:53:10,up_90_1t_,1.4790256023406982,0.5424301,0.39374763,0.9612988,0.5461093,0.4410172,0.9369431,0.49924165,0.44092,0.8973167,0.4481053,0.44107535,0.89225745,0.39313266,0.44088694,0.9150996,0.5816405,0.44091505,0.9386853,0.640568,0.44082695,0.9087768,0.6954063,0.4304465,0.8505043,0.5423367,0.6030022,0.9017093,0.5150133,0.6029792,0.92701554,0.5150802,0.70264167,0.9038874,0.51869243,0.81230515,0.9552853,0.5580681,0.6030146,0.86549985,0.56990504,0.70259124,0.8721351,0.5775986,0.80732185,0.90703154,0.5345741,0.38846838,0.8892639,0.5464589,0.3884823,0.945899,0.5226973,0.39372563,0.69327027,0.55802244,0.39387965,0.9090287,0.5816143,0.8335218,0.877981,0.5934457,0.8229783,0.8492437,0.5736338,0.8127699,0.8238124,0.5147921,0.8335869,0.8836105,0.49533802,0.82323736,0.88405716,0.5227096,0.81267166,0.88856214,-1.00,174.9072849324496,-1,-1,-1,-1,179.89900096478323,-1,-1,-1,-1
2023:03:01:16:53:10,up_90_1t_,1.5428812503814697,0.54242605,0.3937544,0.9605662,0.54610866,0.44101396,0.93571055,0.4992025,0.44092074,0.8988664,0.44806355,0.44106802,0.88741845,0.39312306,0.4408867,0.91211176,0.5816611,0.44091615,0.9396054,0.640563,0.44085094,0.91218185,0.69540495,0.4304545,0.8548441,0.54233664,0.60301393,0.9012363,0.5150012,0.60298955,0.9262459,0.51506704,0.7026834,0.9002367,0.5186894,0.81231743,0.9563595,0.5580936,0.6030276,0.8635706,0.56992406,0.7026399,0.8691889,0.5776027,0.8073562,0.9084047,0.5345621,0.3884738,0.8894486,0.5464529,0.388487,0.9470115,0.5226891,0.39373147,0.7049792,0.5543271,0.39386988,0.9115753,0.5816197,0.83355325,0.87402475,0.5934505,0.8230059,0.8443485,0.5736404,0.8175772,0.8263309,0.51477855,0.8335999,0.882256,0.49532717,0.82323945,0.88412446,0.52271116,0.81268156,0.8895904,-1.00,174.90260195929514,-1,-1,-1,-1,179.90451273796998,-1,-1,-1,-1
2023:03:01:16:53:10,up_90_1t_,1.601696252822876,0.5424098,0.39373857,0.9592481,0.5461035,0.441003,0.93514264,0.4992262,0.4409104,0.8976963,0.44807932,0.4410388,0.88844854,0.39313912,0.44088033,0.90941113,0.58163077,0.44090536,0.94261163,0.64054364,0.440841,0.9052145,0.695414,0.43044722,0.85245,0.54234487,0.6030012,0.90070915,0.5150025,0.6029807,0.9224136,0.5150744,0.70266694,0.89969754,0.5186841,0.8123287,0.95755255,0.558111,0.60301477,0.86121213,0.5699191,0.7026206,0.87038034,0.57760125,0.80735433,0.90940225,0.5345396,0.38845673,0.8884707,0.5464428,0.38846704,0.94834924,0.5190787,0.39372692,0.6948799,0.5543162,0.39385712,0.9149338,0.5816135,0.8335385,0.876497,0.5934332,0.8229974,0.84658444,0.57363945,0.8175767,0.82858264,0.5147821,0.8336101,0.88252044,0.49532664,0.82325375,0.8817941,0.5227018,0.81269056,0.8905158,-1.00,174.9059906017172,-1,-1,-1,-1,179.90306540138226,-1,-1,-1,-1
2023:03:01:16:53:10,up_90_1t_,1.6575465202331543,0.5423845,0.39375314,0.9563042,0.5461037,0.4409948,0.93549347,0.49921313,0.44091338,0.8988142,0.44808713,0.44106922,0.8927735,0.39309075,0.4408762,0.9183507,0.5816341,0.44090104,0.942483,0.6405073,0.44083506,0.90122265,0.695354,0.43043092,0.847183,0.5423561,0.60299116,0.902351,0.5150124,0.6029787,0.9246381,0.51508033,0.70263475,0.9026403,0.5186872,0.8123274,0.9579597,0.5581208,0.60299677,0.85920274,0.5699176,0.70258087,0.8721007,0.57760245,0.80734986,0.9090881,0.5345062,0.3884747,0.8875623,0.5464242,0.38847914,0.95000947,0.51905954,0.39374015,0.6875692,0.5543038,0.39384294,0.9185536,0.5816177,0.8335366,0.87700623,0.5934413,0.8229935,0.8467805,0.57364064,0.8175758,0.82897276,0.5147795,0.8336102,0.88215625,0.49532557,0.82325065,0.88194627,0.52270734,0.8126942,0.89059746,-1.00,174.8908342535377,-1,-1,-1,-1,179.9205935407174,-1,-1,-1,-1
2023:03:01:16:53:10,up_90_1t_,1.7169749736785889,0.542391,0.3937746,0.95835054,0.5460954,0.44099596,0.93524307,0.4992362,0.44091168,0.90090054,0.44815508,0.44107658,0.89605933,0.3932104,0.4407865,0.9209578,0.58159536,0.440899,0.9454146,0.64045024,0.4408199,0.901573,0.6953703,0.43042818,0.85181344,0.54235846,0.60298383,0.9042635,0.5150249,0.6029669,0.9271258,0.5150696,0.7026446,0.903428,0.5186978,0.8123167,0.9550979,0.5581084,0.6029921,0.86163574,0.56990504,0.7025879,0.8716617,0.5776088,0.8073486,0.90977293,0.5345088,0.38850257,0.8904954,0.5464223,0.38849962,0.9527726,0.5190583,0.39373904,0.7022782,0.55429304,0.39383852,0.9187999,0.58162165,0.8335319,0.8756449,0.59345955,0.8229883,0.84560686,0.57364726,0.8127894,0.8276078,0.5147877,0.83359194,0.8833717,0.49533653,0.8232308,0.8831068,0.52272195,0.81268317,0.8885555,-1.00,174.89828529503396,-1,-1,-1,-1,179.96458890274596,-1,-1,-1,-1
