now_time,trils,duration,0_Nose,,,1_Neck,,,2_RShoulder,,,3_RElbow,,,4_RWrist,,,5_LShoulder,,,6_LElbow,,,7_LWrist,,,8_MidHip,9_RHip,,,10_RKnee,,,11_RAnkle,,,12_LHip,,,13_LKnee,,,14_LAnkle,,,15_REye,,,16_LEye,,,17_REar,18_LEar,,,19_LBigToe,,,20_LSmallToe,,,21_LHeel,,,22_RBigToe,,,23_RSmallToe,,,24_RHeel,,,25_Background,,,26_A_Lneck,27_A_Lshoulder,28_A_Lelbow,29_A_Lhip,30_A_Lknee,31_A_Rneck,32_A_Rshoulder,33_A_Relbow,34_A_Rhip,35_A_Rknee,36_A_middle_left_neck
2023:03:01:17:03:39,down_150_1t_,19.78515911102295,0.9938404,0.39364433,0.5744493,0.9938791,0.40423152,0.05343781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9938538,0.36230624,0.406235,0.9938429,0.3727202,0.59398425,0.99385446,0.36235332,0.18932842,0.9938595,0.35709152,0.37604195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023:03:01:17:03:39,down_150_1t_,19.854971170425415,0.9623535,0.4041271,0.82642096,0.9938878,0.41988543,0.13509868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9938705,0.45123538,0.23589158,0.99374545,0.5664095,0.8137067,0.93084735,0.5141332,0.87202454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9622684,0.39340985,0.88520133,0.0,0.0,0.0,0.99382246,0.3573409,0.923561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.00,134.9745692823986,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023:03:01:17:03:39,down_150_1t_,19.911853790283203,0.9545842,0.41467914,0.824044,0.9938721,0.44077995,0.3170435,0.9938424,0.44060105,0.32264814,0.99373525,0.5403262,0.10457159,0.95435476,0.51401097,0.3953355,0.9938382,0.45132262,0.63480645,0.95860755,0.56640506,0.88585466,0.9232254,0.52439606,0.9042417,0.9938596,0.7234757,0.28610647,0.993855,0.71821433,0.18895772,0.9662666,0.8546134,0.12984322,0.0,0.0,0.0,0.9938361,0.72359836,0.6257878,0.9545377,0.8857902,0.41150522,0.0,0.0,0.0,0.0,0.0,0.0,0.9545387,0.39387256,0.9491762,0.0,0.0,0.0,0.99377775,0.36251312,0.9060269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.00,136.16542308876518,-1,-1,-1,-1,37.69661794772159,-1,-1,-1,-1
2023:03:01:17:03:39,down_150_1t_,19.96969199180603,0.9272036,0.41986942,0.8084491,0.99384946,0.44100785,0.61719686,0.9938621,0.44074786,0.25073868,0.0,0.0,0.0,0.0,0.0,0.0,0.99378693,0.44618633,0.8733462,0.9309453,0.57176876,0.8882065,0.8957589,0.5247214,0.8911443,0.9938191,0.6973453,0.66775805,0.99382836,0.7026302,0.35752785,0.93104565,0.81806284,0.34964868,0.0,0.0,0.0,0.9624255,0.69732183,0.7410155,0.9270239,0.8438663,0.7492968,0.0,0.0,0.0,0.0,0.0,0.0,0.92698103,0.39880675,0.94636923,0.0,0.0,0.0,0.9542839,0.3831359,0.9273565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.00,129.39169106487887,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023:03:01:17:03:39,down_150_1t_,20.03050208091736,0.89958024,0.42507908,0.8027068,0.9937853,0.4410815,0.8189021,0.9938347,0.43555567,0.49326897,0.99374545,0.55596644,0.07601377,0.0,0.0,0.0,0.95440626,0.46180198,0.83555675,0.9073759,0.5717419,0.85216385,0.8682286,0.52462226,0.87775546,0.96623826,0.68673015,0.76022387,0.99382013,0.6816134,0.6972763,0.99379,0.7915967,0.4586941,0.0,0.0,0.0,0.9466061,0.6868911,0.788862,0.9190155,0.812626,0.83938825,0.0,0.0,0.0,0.0,0.0,0.0,0.8957466,0.39889237,0.92484367,0.0,0.0,0.0,0.9231563,0.38325667,0.9144426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.00,171.66180544751475,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023:03:01:17:03:39,down_150_1t_,20.093368768692017,0.8877913,0.430201,0.81263053,0.9584649,0.44089288,0.85344213,0.9938187,0.435488,0.6349182,0.99385786,0.561246,0.08131483,0.0,0.0,0.0,0.92688715,0.44606343,0.8788322,0.8916235,0.5613832,0.9193773,0.86020696,0.52457064,0.8686017,0.95452183,0.6712164,0.822773,0.9937958,0.6658802,0.7689928,0.9937223,0.7968904,0.76610464,0.0,0.0,0.0,0.92320514,0.6764507,0.78848064,0.8995189,0.81227833,0.84851426,0.0,0.0,0.0,0.0,0.0,0.0,0.8799453,0.3990875,0.85302466,0.0,0.0,0.0,0.89580226,0.38316038,0.88338614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.00,139.6420569547494,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023:03:01:17:03:39,down_150_1t_,20.153210639953613,0.8681417,0.41463673,0.81893134,0.9543912,0.43576485,0.89221,0.9937947,0.43016794,0.7034647,0.99384564,0.5403487,0.076764755,0.0,0.0,0.0,0.91898686,0.44100425,0.86638594,0.87600476,0.56113535,0.8692814,0.84465194,0.51959217,0.8441292,0.95056057,0.6554575,0.8174701,0.9937514,0.650423,0.7565449,0.9544091,0.7761541,0.92767227,0.9938808,0.8702735,0.06636823,0.9191868,0.65560746,0.7813393,0.8955166,0.80729425,0.88998634,0.0,0.0,0.0,0.0,0.0,0.0,0.8643836,0.3939095,0.92945206,0.0,0.0,0.0,0.8917704,0.3780446,0.8997629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.00,141.82489586954856,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023:03:01:17:03:39,down_150_1t_,20.211019277572632,0.8602934,0.40952715,0.83623415,0.92700684,0.43536216,0.9027823,0.95860267,0.40946501,0.8420376,0.9937752,0.52979046,0.18971328,0.0,0.0,0.0,0.8918018,0.4407779,0.92441624,0.86022156,0.55583024,0.87100494,0.8289535,0.5195099,0.9012978,0.92688334,0.64519525,0.8495641,0.9543847,0.64497215,0.85092986,0.9231579,0.7708076,0.95278037,0.99378234,0.8806963,0.17535982,0.89578927,0.65021527,0.8227671,0.8917089,0.8020402,0.8802593,0.0,0.0,0.0,0.0,0.0,0.0,0.86021537,0.39388657,0.9141966,0.0,0.0,0.0,0.8760362,0.3727262,0.83679366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9938237,0.87542474,0.073569715,0.0,0.0,0.0,0.99378854,0.88057804,0.13757825,-1.00,137.3442971731373,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023:03:01:17:03:39,down_150_1t_,20.272881746292114,0.8367462,0.40941384,0.8309369,0.9151724,0.4303543,0.84249455,0.95059544,0.41460645,0.8198306,0.9937497,0.5195433,0.1123886,0.0,0.0,0.0,0.87597495,0.44062564,0.8732211,0.8328704,0.5506845,0.856289,0.8092976,0.51936036,0.817454,0.9113244,0.64476526,0.7752595,0.9309996,0.63959694,0.7528253,0.8917182,0.7705716,0.80794084,0.91918135,0.8595354,0.08353979,0.8914709,0.6450925,0.83417565,0.88776654,0.7967847,0.7860714,0.0,0.0,0.0,0.0,0.0,0.0,0.8330143,0.39378205,0.92116416,0.0,0.0,0.0,0.86030686,0.3728128,0.90087104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9268878,0.85952866,0.0751282,-1.00,144.94364786962066,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023:03:01:17:03:39,down_150_1t_,20.336729049682617,0.8288327,0.41462848,0.8389239,0.89173335,0.43557528,0.9226384,0.9269614,0.4301705,0.8245628,0.93483925,0.5194149,0.1007441,0.0,0.0,0.0,0.8601908,0.4407392,0.9201572,0.82499987,0.5454753,0.81931216,0.797627,0.5193256,0.8940803,0.89167213,0.6345642,0.80204517,0.9191002,0.6240094,0.72703975,0.86824113,0.7708519,0.72915196,0.0,0.0,0.0,0.86431426,0.64477587,0.84262896,0.8876149,0.80198926,0.7825383,0.0,0.0,0.0,0.0,0.0,0.0,0.8288145,0.3987962,0.92214274,0.0,0.0,0.0,0.844594,0.3832073,0.83905125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.00,137.8214436691681,-1,-1,-1,-1,-1,-1,-1,-1,-1
