now_time,trils,duration,0_Nose,,,1_Neck,,,2_RShoulder,,,3_RElbow,,,4_RWrist,,,5_LShoulder,,,6_LElbow,,,7_LWrist,,,8_MidHip,9_RHip,,,10_RKnee,,,11_RAnkle,,,12_LHip,,,13_LKnee,,,14_LAnkle,,,15_REye,,,16_LEye,,,17_REar,18_LEar,,,19_LBigToe,,,20_LSmallToe,,,21_LHeel,,,22_RBigToe,,,23_RSmallToe,,,24_RHeel,,,25_Background,,,26_A_Lneck,27_A_Lshoulder,28_A_Lelbow,29_A_Lhip,30_A_Lknee,31_A_Rneck,32_A_Rshoulder,33_A_Relbow,34_A_Rhip,35_A_Rknee,36_A_middle_left_neck
2023:03:01:17:04:46,down_150_1t_,0.5395572185516357,0.48766243,0.44079491,0.94443476,0.5384056,0.46181124,0.7923808,0.5345943,0.45657182,0.7563461,0.51492226,0.51926875,0.46455425,0.49139667,0.5089529,0.46988466,0.5423572,0.4618775,0.8605747,0.5150787,0.52991563,0.9104598,0.48370534,0.50373113,0.8977941,0.522694,0.6083306,0.8582175,0.5189154,0.6083039,0.8636467,0.5227169,0.6973501,0.87389016,0.5189563,0.7812236,0.8234187,0.52279127,0.60835725,0.89528334,0.53453493,0.7078554,0.81713665,0.54237336,0.8073912,0.8841306,0.0,0.0,0.0,0.48767027,0.4354183,0.91916144,0.0,0.0,0.0,0.5110606,0.41473854,0.8760322,0.5071035,0.8125606,0.79817486,0.514938,0.8177538,0.83503467,0.54627794,0.8176044,0.9474754,0.48759043,0.7811838,0.69653815,0.4953706,0.78112245,0.5902224,0.5229355,0.7968406,0.50656354,-1.00,36.471938138860864,-1,-1,-1,-1,75.54485975388543,-1,-1,-1,-1
2023:03:01:17:04:47,down_150_1t_,0.6213390827178955,0.49128655,0.44081694,0.9313393,0.5383739,0.4617836,0.7945305,0.5345269,0.45656967,0.7591721,0.5148952,0.5192225,0.46522507,0.49136576,0.508839,0.47808617,0.5423793,0.46184662,0.8614678,0.5150791,0.52986324,0.89265406,0.4872477,0.50364894,0.8889809,0.51902264,0.6083029,0.8641257,0.51885056,0.60826886,0.8661223,0.5226837,0.6973247,0.87494016,0.518938,0.78119045,0.82322764,0.522765,0.608337,0.8963075,0.5345139,0.7078485,0.81779957,0.5423602,0.80740976,0.8867855,0.0,0.0,0.0,0.49129078,0.43544963,0.91249514,0.0,0.0,0.0,0.5110451,0.4197914,0.8703294,0.5070943,0.8125721,0.80500364,0.514931,0.8177757,0.8387375,0.5462698,0.8176162,0.94798696,0.48757303,0.7811084,0.71072286,0.4953351,0.77613145,0.6013832,0.52291214,0.796768,0.5015075,-1.00,38.07197871722708,-1,-1,-1,-1,75.96916154800776,-1,-1,-1,-1
2023:03:01:17:04:47,down_150_1t_,0.6791839599609375,0.48761135,0.44082513,0.90114737,0.54220784,0.4617409,0.8018724,0.54624397,0.4463027,0.8048991,0.5188166,0.51415247,0.4188891,0.495319,0.5088399,0.41859025,0.53059626,0.46707776,0.84104395,0.5149941,0.52997684,0.91190815,0.48357964,0.5089599,0.90657985,0.52285254,0.60331064,0.8322433,0.52669054,0.6032205,0.7968433,0.5227156,0.6923073,0.8833449,0.5189938,0.78123564,0.8164598,0.5190351,0.6081804,0.90169346,0.5267596,0.70269483,0.8185495,0.54230016,0.80733484,0.87828827,0.0,0.0,0.0,0.48759654,0.43546227,0.90025294,0.0,0.0,0.0,0.5108807,0.41983095,0.8528961,0.5070386,0.8125194,0.78702813,0.5148567,0.81771576,0.8295763,0.54623824,0.81758744,0.9458534,0.48760313,0.78114265,0.6719824,0.49915558,0.7811124,0.5672916,0.52667946,0.79690814,0.48761588,-1.00,162.98973681264349,-1,-1,-1,-1,24.505081469280373,-1,-1,-1,-1
2023:03:01:17:04:47,down_150_1t_,0.7350635528564453,0.48759568,0.44082654,0.9043756,0.5422112,0.46171576,0.8004896,0.5462638,0.4462744,0.80741763,0.5188473,0.5140833,0.3939415,0.49917564,0.50887483,0.39817882,0.53058004,0.46705467,0.8404805,0.5149821,0.52993435,0.91735834,0.48356873,0.50896126,0.909391,0.5228634,0.60329586,0.8319696,0.5267368,0.6032043,0.7945304,0.52272534,0.69229764,0.8833358,0.5189991,0.7812448,0.81054205,0.51902086,0.60816437,0.9032286,0.5267585,0.70269644,0.8187592,0.5423016,0.8073667,0.87959665,0.0,0.0,0.0,0.4875773,0.43545225,0.90037584,0.0,0.0,0.0,0.51084536,0.41979727,0.8482874,0.5070335,0.81255394,0.79142797,0.5148487,0.8177636,0.83149767,0.5462436,0.8176202,0.9439885,0.48759848,0.78114486,0.66105354,0.499149,0.7811149,0.5566402,0.5266993,0.7968944,0.47866842,-1.00,162.94171769304168,-1,-1,-1,-1,22.24474754223503,-1,-1,-1,-1
2023:03:01:17:04:47,down_150_1t_,0.7968699932098389,0.48762622,0.44089583,0.9023098,0.5385129,0.46175116,0.7965582,0.54620516,0.4462926,0.79820514,0.51879174,0.5141959,0.40613553,0.49536294,0.508876,0.39192873,0.53063184,0.46706498,0.83782303,0.51494133,0.52999616,0.91233987,0.48356536,0.5089487,0.9049009,0.52283275,0.60331804,0.8328108,0.52664495,0.6032273,0.8000128,0.52269614,0.69228005,0.8847885,0.51896,0.78121257,0.82062256,0.51903564,0.6081831,0.9011097,0.52675074,0.7026589,0.8212567,0.54230106,0.80733955,0.88037676,0.0,0.0,0.0,0.48759773,0.43551332,0.90395206,0.0,0.0,0.0,0.5108487,0.4198054,0.8486686,0.5069865,0.8125332,0.7985169,0.5148393,0.8177366,0.8383265,0.5462442,0.8175895,0.9504498,0.4875741,0.78116095,0.682565,0.4953598,0.7811057,0.5762308,0.52663654,0.796863,0.48853862,-1.00,172.3245392994686,-1,-1,-1,-1,12.634870870302692,-1,-1,-1,-1
2023:03:01:17:04:47,down_150_1t_,0.8577344417572021,0.48762515,0.4409133,0.8970016,0.53853,0.46174395,0.79861826,0.5462448,0.44628197,0.80317754,0.5187947,0.5141713,0.41100925,0.49536815,0.5088829,0.39892116,0.5306048,0.46705145,0.83700216,0.514954,0.529975,0.9147644,0.48358893,0.5089651,0.90553164,0.52285486,0.60331255,0.83293474,0.52670985,0.6032218,0.7975067,0.522707,0.6922856,0.8848898,0.5189789,0.7812249,0.81911737,0.51902705,0.6081783,0.90352976,0.5267431,0.7026713,0.82124704,0.5422846,0.8073231,0.8771992,0.0,0.0,0.0,0.48759654,0.43552828,0.90223396,0.0,0.0,0.0,0.51084137,0.41984698,0.8485636,0.50701123,0.812516,0.79437864,0.5148434,0.8177098,0.8358033,0.54622865,0.81756693,0.942915,0.48759672,0.78115994,0.6737925,0.495384,0.7811114,0.56925476,0.5266626,0.79688895,0.48894387,-1.00,172.09379847843343,-1,-1,-1,-1,12.584191615333715,-1,-1,-1,-1
2023:03:01:17:04:47,down_150_1t_,0.9165489673614502,0.48760074,0.44088075,0.90145785,0.53851545,0.46170995,0.7980841,0.5462196,0.44625127,0.8062835,0.5187787,0.514173,0.42529303,0.49533972,0.50887865,0.40857628,0.5306182,0.46701768,0.83490765,0.5149525,0.52996004,0.9207767,0.48356578,0.5089515,0.9073607,0.52282894,0.60328436,0.83632135,0.52665544,0.6031923,0.8006594,0.5226902,0.6922826,0.8875653,0.51898897,0.78123885,0.8161198,0.519024,0.6081468,0.9044295,0.52674246,0.7026483,0.8234088,0.5423105,0.8073205,0.87806624,0.0,0.0,0.0,0.48757976,0.4355073,0.9042613,0.0,0.0,0.0,0.5108385,0.41983265,0.84844637,0.5070457,0.8125072,0.7926375,0.5148657,0.8177125,0.8333705,0.54625356,0.81756663,0.9427841,0.48760933,0.7811523,0.66352504,0.49915963,0.78112316,0.5612279,0.5266787,0.79690164,0.48818862,-1.00,172.1970865441663,-1,-1,-1,-1,12.600883420348538,-1,-1,-1,-1
2023:03:01:17:04:47,down_150_1t_,0.9763889312744141,0.48760316,0.44084895,0.9069446,0.5422095,0.45663512,0.7988187,0.54621017,0.44623148,0.8043436,0.5187739,0.51416916,0.4370437,0.49531043,0.50885946,0.42388538,0.5306319,0.46695063,0.8304979,0.51498324,0.5299194,0.923458,0.48357582,0.5089596,0.9075307,0.52281564,0.6032872,0.8384756,0.5266337,0.60319835,0.804612,0.5226924,0.6922914,0.8877606,0.51898354,0.7812593,0.81690836,0.51902175,0.60814756,0.9049899,0.52675146,0.7026434,0.82305104,0.54231244,0.8073128,0.8779186,0.0,0.0,0.0,0.4875781,0.43547794,0.9049076,0.0,0.0,0.0,0.5108363,0.41978613,0.850468,0.5070605,0.81250995,0.7952149,0.51487786,0.81771433,0.8353455,0.5462537,0.8175655,0.94227713,0.48761606,0.78117216,0.66668487,0.49916676,0.7811482,0.56547874,0.5266557,0.796947,0.49390116,-1.00,179.94400550299477,-1,-1,-1,-1,18.06786663102219,-1,-1,-1,-1
2023:03:01:17:04:47,down_150_1t_,1.0402195453643799,0.48758918,0.44088167,0.90744174,0.538508,0.46169204,0.7968934,0.5462058,0.44624478,0.80268234,0.51875675,0.5142215,0.43580252,0.49528515,0.50889504,0.42352337,0.5306219,0.46698096,0.8330727,0.5149419,0.52989644,0.9297553,0.48353326,0.5089564,0.9030399,0.5228299,0.60327214,0.8362353,0.5266516,0.6031838,0.7999271,0.5226916,0.6922968,0.88397574,0.51902145,0.7812652,0.8090506,0.5190284,0.6033489,0.90515006,0.52673686,0.70263106,0.8235222,0.54231054,0.80725974,0.87411535,0.0,0.0,0.0,0.48756507,0.43549913,0.90767324,0.0,0.0,0.0,0.5071296,0.41475752,0.84768623,0.50708544,0.81245327,0.7872261,0.5148906,0.81765413,0.8341088,0.5462556,0.8127831,0.93981475,0.491322,0.78122795,0.64309305,0.49922296,0.78117883,0.5478563,0.52671653,0.79694724,0.48207033,-1.00,172.13409702022358,-1,-1,-1,-1,12.614984614340278,-1,-1,-1,-1
2023:03:01:17:04:47,down_150_1t_,1.1000585556030273,0.4876071,0.44086757,0.90813524,0.5385143,0.46168002,0.7952938,0.54618716,0.44624186,0.7977872,0.51872957,0.5191296,0.43082964,0.49529648,0.50889695,0.41541797,0.5306762,0.4669503,0.8288392,0.5149251,0.5299048,0.9262334,0.48352656,0.50890744,0.8994681,0.5228165,0.60330385,0.8340571,0.52290106,0.603215,0.80213463,0.5226869,0.69232726,0.8801457,0.51901424,0.7812778,0.8047887,0.5190452,0.60816216,0.90315413,0.5267566,0.70265704,0.8213371,0.5423066,0.80727845,0.87507755,0.0,0.0,0.0,0.48758298,0.4354896,0.90674603,0.0,0.0,0.0,0.51085496,0.41475382,0.85075337,0.50706935,0.8124605,0.7906461,0.51487917,0.8176617,0.83579487,0.54625046,0.81279916,0.9414118,0.49131176,0.7812361,0.6365535,0.49919912,0.78118473,0.5411204,0.5267141,0.79695135,0.47791865,-1.00,172.25145880778624,-1,-1,-1,-1,12.657123144264318,-1,-1,-1,-1
